1,0.95163,0.9056,0.8618,0.82012,0.78045,0.7427,0.70678,0.6726,0.64006,0.60911,0.57965,0.55161,0.52493,0.49954,0.47538,0.45239,0.43051,0.40968,0.38987,0.37101,0.35307,0.33599,0.31974,0.30427,0.28956,0.27555,0.26222,0.24954,0.23747,0.22599,0.21505,0.20465,0.19475,0.18533,0.17637,0.16784,0.15972,0.152,0.14465,0.13765,0.13099,0.12466,0.11863,0.11289,0.10743,0.10223,0.097288,0.092582,0.088104,0.083843,0.079788,0.075929,0.072256,0.068761,0.065436,0.062271,0.059259,0.056393,0.053665
0.95163,1,0.95163,0.9056,0.8618,0.82012,0.78045,0.7427,0.70678,0.6726,0.64006,0.60911,0.57965,0.55161,0.52493,0.49954,0.47538,0.45239,0.43051,0.40968,0.38987,0.37101,0.35307,0.33599,0.31974,0.30427,0.28956,0.27555,0.26222,0.24954,0.23747,0.22599,0.21505,0.20465,0.19475,0.18533,0.17637,0.16784,0.15972,0.152,0.14465,0.13765,0.13099,0.12466,0.11863,0.11289,0.10743,0.10223,0.097288,0.092582,0.088104,0.083843,0.079788,0.075929,0.072256,0.068761,0.065436,0.062271,0.059259,0.056393
0.9056,0.95163,1,0.95163,0.9056,0.8618,0.82012,0.78045,0.7427,0.70678,0.6726,0.64006,0.60911,0.57965,0.55161,0.52493,0.49954,0.47538,0.45239,0.43051,0.40968,0.38987,0.37101,0.35307,0.33599,0.31974,0.30427,0.28956,0.27555,0.26222,0.24954,0.23747,0.22599,0.21505,0.20465,0.19475,0.18533,0.17637,0.16784,0.15972,0.152,0.14465,0.13765,0.13099,0.12466,0.11863,0.11289,0.10743,0.10223,0.097288,0.092582,0.088104,0.083843,0.079788,0.075929,0.072256,0.068761,0.065436,0.062271,0.059259
0.8618,0.9056,0.95163,1,0.95163,0.9056,0.8618,0.82012,0.78045,0.7427,0.70678,0.6726,0.64006,0.60911,0.57965,0.55161,0.52493,0.49954,0.47538,0.45239,0.43051,0.40968,0.38987,0.37101,0.35307,0.33599,0.31974,0.30427,0.28956,0.27555,0.26222,0.24954,0.23747,0.22599,0.21505,0.20465,0.19475,0.18533,0.17637,0.16784,0.15972,0.152,0.14465,0.13765,0.13099,0.12466,0.11863,0.11289,0.10743,0.10223,0.097288,0.092582,0.088104,0.083843,0.079788,0.075929,0.072256,0.068761,0.065436,0.062271
0.82012,0.8618,0.9056,0.95163,1,0.95163,0.9056,0.8618,0.82012,0.78045,0.7427,0.70678,0.6726,0.64006,0.60911,0.57965,0.55161,0.52493,0.49954,0.47538,0.45239,0.43051,0.40968,0.38987,0.37101,0.35307,0.33599,0.31974,0.30427,0.28956,0.27555,0.26222,0.24954,0.23747,0.22599,0.21505,0.20465,0.19475,0.18533,0.17637,0.16784,0.15972,0.152,0.14465,0.13765,0.13099,0.12466,0.11863,0.11289,0.10743,0.10223,0.097288,0.092582,0.088104,0.083843,0.079788,0.075929,0.072256,0.068761,0.065436
0.78045,0.82012,0.8618,0.9056,0.95163,1,0.95163,0.9056,0.8618,0.82012,0.78045,0.7427,0.70678,0.6726,0.64006,0.60911,0.57965,0.55161,0.52493,0.49954,0.47538,0.45239,0.43051,0.40968,0.38987,0.37101,0.35307,0.33599,0.31974,0.30427,0.28956,0.27555,0.26222,0.24954,0.23747,0.22599,0.21505,0.20465,0.19475,0.18533,0.17637,0.16784,0.15972,0.152,0.14465,0.13765,0.13099,0.12466,0.11863,0.11289,0.10743,0.10223,0.097288,0.092582,0.088104,0.083843,0.079788,0.075929,0.072256,0.068761
0.7427,0.78045,0.82012,0.8618,0.9056,0.95163,1,0.95163,0.9056,0.8618,0.82012,0.78045,0.7427,0.70678,0.6726,0.64006,0.60911,0.57965,0.55161,0.52493,0.49954,0.47538,0.45239,0.43051,0.40968,0.38987,0.37101,0.35307,0.33599,0.31974,0.30427,0.28956,0.27555,0.26222,0.24954,0.23747,0.22599,0.21505,0.20465,0.19475,0.18533,0.17637,0.16784,0.15972,0.152,0.14465,0.13765,0.13099,0.12466,0.11863,0.11289,0.10743,0.10223,0.097288,0.092582,0.088104,0.083843,0.079788,0.075929,0.072256
0.70678,0.7427,0.78045,0.82012,0.8618,0.9056,0.95163,1,0.95163,0.9056,0.8618,0.82012,0.78045,0.7427,0.70678,0.6726,0.64006,0.60911,0.57965,0.55161,0.52493,0.49954,0.47538,0.45239,0.43051,0.40968,0.38987,0.37101,0.35307,0.33599,0.31974,0.30427,0.28956,0.27555,0.26222,0.24954,0.23747,0.22599,0.21505,0.20465,0.19475,0.18533,0.17637,0.16784,0.15972,0.152,0.14465,0.13765,0.13099,0.12466,0.11863,0.11289,0.10743,0.10223,0.097288,0.092582,0.088104,0.083843,0.079788,0.075929
0.6726,0.70678,0.7427,0.78045,0.82012,0.8618,0.9056,0.95163,1,0.95163,0.9056,0.8618,0.82012,0.78045,0.7427,0.70678,0.6726,0.64006,0.60911,0.57965,0.55161,0.52493,0.49954,0.47538,0.45239,0.43051,0.40968,0.38987,0.37101,0.35307,0.33599,0.31974,0.30427,0.28956,0.27555,0.26222,0.24954,0.23747,0.22599,0.21505,0.20465,0.19475,0.18533,0.17637,0.16784,0.15972,0.152,0.14465,0.13765,0.13099,0.12466,0.11863,0.11289,0.10743,0.10223,0.097288,0.092582,0.088104,0.083843,0.079788
0.64006,0.6726,0.70678,0.7427,0.78045,0.82012,0.8618,0.9056,0.95163,1,0.95163,0.9056,0.8618,0.82012,0.78045,0.7427,0.70678,0.6726,0.64006,0.60911,0.57965,0.55161,0.52493,0.49954,0.47538,0.45239,0.43051,0.40968,0.38987,0.37101,0.35307,0.33599,0.31974,0.30427,0.28956,0.27555,0.26222,0.24954,0.23747,0.22599,0.21505,0.20465,0.19475,0.18533,0.17637,0.16784,0.15972,0.152,0.14465,0.13765,0.13099,0.12466,0.11863,0.11289,0.10743,0.10223,0.097288,0.092582,0.088104,0.083843
0.60911,0.64006,0.6726,0.70678,0.7427,0.78045,0.82012,0.8618,0.9056,0.95163,1,0.95163,0.9056,0.8618,0.82012,0.78045,0.7427,0.70678,0.6726,0.64006,0.60911,0.57965,0.55161,0.52493,0.49954,0.47538,0.45239,0.43051,0.40968,0.38987,0.37101,0.35307,0.33599,0.31974,0.30427,0.28956,0.27555,0.26222,0.24954,0.23747,0.22599,0.21505,0.20465,0.19475,0.18533,0.17637,0.16784,0.15972,0.152,0.14465,0.13765,0.13099,0.12466,0.11863,0.11289,0.10743,0.10223,0.097288,0.092582,0.088104
