15715.673,9317.632,18763.193,21224.787,5039.207,10538.579,23723.205,4947.831,6875.5835,14067.887,10281.79,19855.703,3711.3438,105395.32,521.2018,21425.008,31271.857,33121.87
16140.141,8941.624,18281.732,22534.62,5239.7554,9633.856,24590.428,5083.6206,6894.8403,14355.487,10665.286,20519.86,3976.6921,108195.45,523.4283,21553.445,30541.695,34447.527
14264.536,9423.643,18896.986,22688.85,5296.0317,10927.799,26997.812,5652.773,7156.5435,14666.112,12549.07,25492.191,3955.8225,118983.56,716.0327,29641.69,32023.523,34405.375
16323.473,9689.083,17949.59,20788.318,5210.3335,10401.834,25225.133,5178.894,7417.484,14798.267,10571.579,20416.3,4060.4543,109494.07,442.39252,19486.318,29481.863,32231.38
15500.254,9417.578,18355.936,22479.225,5421.293,11917.488,26573.975,5287.603,7376.87,15070.243,11358.358,22380.57,4008.4385,113565.695,556.78784,24266.225,33051.855,35371.33
16321.49,9413.48,18175.24,23354.9,5565.5513,12554.961,27662.836,5511.515,7216.3706,15343.545,11942.876,22907.04,4252.094,115595.78,577.3511,24411.613,32069.35,36959.223
14807.882,9946.53,18832.9,23711.676,5629.8936,13095.28,30323.033,5944.978,7722.2925,15693.7295,14236.798,27898.865,4420.4106,126913.914,840.79974,32972.094,34549.508,37549.465
17655.91,10127.785,17362.848,22082.252,5523.2017,12885.648,27989.924,5545.74,7811.839,15862.601,12394.801,22473.947,4476.3125,116704.4,583.4391,21135.45,31086.85,36491.516
17473.201,10301.088,15908.479,22773.717,5690.187,13755.836,29045.076,5705.3433,7872.4263,16119.548,13279.503,24193.697,4258.9355,121509.87,733.68335,24081.686,30836.861,38891.895
18469.824,10217.453,15584.467,24071.852,5883.4507,14297.201,30288.947,5647.333,7983.2876,16420.46,13773.555,25070.348,4538.5664,124026.17,737.145,25098.105,32207.527,39136.363
16953.287,10862.523,15397.266,24585.48,5913.512,14227.429,33313.66,6259.0835,8293.97,16774.15,15868.384,30698.139,4639.979,138014.42,995.2018,38786.383,32775.184,44572.38
19758.693,11365.739,13072.594,23088.03,5772.1797,13520.001,31073.697,5600.149,8783.442,16920.502,13295.383,24782.725,4641.9844,127224.88,618.6897,22791.895,29112.527,40918.11
19450.535,11865.21,12315.516,24096.6,5959.765,14518.556,32430.4,5723.291,8738.245,17218.084,13838.231,27014.98,4482.943,132379.1,735.8728,27662.887,30420.205,42451.0
19667.674,11841.393,10870.312,25811.42,6368.2417,14537.699,34193.355,5959.057,8762.041,17572.014,14385.966,28580.484,4756.367,136996.75,746.75,30151.809,32604.523,50012.47
17860.762,12998.056,11352.25,26696.904,6566.7466,15045.158,37692.83,6496.386,8545.782,18095.559,15976.897,31723.234,4922.314,151265.0,1031.376,39162.773,33798.176,49375.293
20122.465,14061.01,10171.277,25154.068,6597.6685,15081.382,35635.777,5849.4937,8610.209,18280.38,13724.923,26961.87,4973.6074,140829.3,686.0298,23329.27,29790.352,46206.42
19936.46,14445.102,9642.569,26381.42,6734.22,16029.445,36887.637,6064.77,8375.362,18723.062,14445.502,29951.69,4877.477,143897.05,848.92334,29493.94,30185.865,45730.715
